Variable,Statistic,All Respondents,ShallowBottomfish
Boat Length,Number of Respondents,330,193
,Mean,23.53030303030303,23.28497409326425
,Standard Error,0.3350540046802733,0.4386881357683441
,Median,22,22
Boat Horsepower,Number of Respondents,329,193
,Mean,249.51975683890578,241.21243523316062
,Standard Error,14.574644110916097,18.237795421516722
,Median,200,180
Boat Age,Number of Respondents,320,186
,Mean,26.0875,25.182795698924732
,Standard Error,0.8316309348235464,1.0780063959816242
,Median,26,26
Current Boat Owner,Number of Respondents,324,188
,Mean,12.885802469135802,12.537234042553191
,Standard Error,0.6403829667517551,0.7972021875562845
,Median,9,9
Boat Purchase Price,Number of Respondents,307,179
,Mean,53148.05211726384,57010.150837988826
,Standard Error,6824.183040506041,11044.293162202308
,Median,35000,34000
Boat Current Market Value,Number of Respondents,309,182
,Mean,62221.553398058255,67517.91208791209
,Standard Error,6992.748640581529,11192.669196023211
,Median,40000,40000
Most Recent Years for major Vessel Improvement,Number of Respondents,227,133
,Mean,4.079295154185022,4.180451127819549
,Standard Error,0.2937424087366931,0.39474714912386355
,Median,2,2
