Variable,Statistic,All Respondents,Deep7Bottomfish
Boat and trailer repair/maintenance/improvements,Number of Respondents,298,175
,Mean,2557,1991
,Standard Error,328,245
,Median,1000,1000
Gear replacement/repair,Number of Respondents,302,175
,Mean,2126,2260
,Standard Error,201,289
,Median,1000,1000
Loan payments,Number of Respondents,41,23
,Mean,5709,5859
,Standard Error,534,635
,Median,4800,4800
Boat insurance,Number of Respondents,195,107
,Mean,1169,980
,Standard Error,101,77
,Median,800,800
Fees,Number of Respondents,315,187
,Mean,671,747
,Standard Error,81,125
,Median,300,350
Mooring fees,Number of Respondents,62,30
,Mean,3310,2713
,Standard Error,407,383
,Median,2880,2112
Financial service,Number of Respondents,35,23
,Mean,461,420
,Standard Error,71,58
,Median,300,350
Other,Number of Respondents,5,3
,Mean,1180,1467
,Standard Error,242,267
,Median,1200,1200
Annual fixed costs,Number of Respondents,326,189
,Mean,7069,6448
,Standard Error,515,537
,Median,3775,3650
