Variable,Statistic,All Respondents,Pelagic Fishery
Boat and trailer repair/maintenance/improvements,Number of Respondents,298, 287 
,Mean,2557," 2,579 "
,Standard Error,328, 339 
,Median,1000," 1,000 "
Gear replacement/repair,Number of Respondents,302, 292 
,Mean,2126," 2,068 "
,Standard Error,201, 197 
,Median,1000," 1,000 "
Loan payments,Number of Respondents,41, 40 
,Mean,5709," 5,822 "
,Standard Error,534, 535 
,Median,4800," 4,800 "
Boat insurance,Number of Respondents,195, 187 
,Mean,1169," 1,175 "
,Standard Error,101, 105 
,Median,800, 800 
Fees,Number of Respondents,315, 301 
,Mean,671, 677 
,Standard Error,81, 84 
,Median,300, 300 
Mooring fees,Number of Respondents,62, 61 
,Mean,3310," 3,362 "
,Standard Error,407, 410 
,Median,2880," 3,000 "
Financial service,Number of Respondents,35, 33 
,Mean,461, 474 
,Standard Error,71, 75 
,Median,300, 350 
Other,Number of Respondents,5, 5 
,Mean,1180," 1,180 "
,Standard Error,242, 242 
,Median,1200," 1,200 "
Annual fixed costs,Number of Respondents,326, 312 
,Mean,7069," 7,138 "
,Standard Error,515, 529 
,Median,3775," 3,925 "
