Variable,Statistic,All Respondents,Recreational expense,Part time commercial,Subsistence,Full time commercial,Purely recreational,Cultural
Boat and trailer repair/maintenance/improvements,Number of Respondents,298,93,83,41,31,20,4
,Mean," 2,557 "," 2,752 "," 2,361 "," 1,950 "," 3,928 "," 1,496 "," 3,550 "
,Standard Error, 328 , 832 , 489 , 568 , 895 , 496 ," 2,191 "
,Median," 1,000 "," 1,000 "," 1,000 ", 600 ," 2,000 ", 500 ," 2,000 "
Gear replacement/repair,Number of Respondents, 302 , 92 , 81 , 43 , 32 , 22 , 4 
,Mean," 2,126 "," 1,616 "," 2,108 "," 1,415 "," 4,745 "," 1,920 "," 6,450 "
,Standard Error, 201 , 214 , 384 , 306 , 986 ," 1,076 "," 4,609 "
,Median," 1,000 "," 1,000 "," 1,000 ", 500 ," 2,500 ", 550 ," 2,750 "
Loan payments,Number of Respondents, 41 , 11 , 15 , 8 , 3 ,, 1 
,Mean," 5,709 "," 4,357 "," 6,859 "," 6,356 "," 3,200 ",," 6,000 "
,Standard Error, 534 , 458 , 842 ," 1,819 ", 400 ,,
,Median," 4,800 "," 4,344 "," 6,240 "," 4,426 "," 3,600 ",," 6,000 "
Boat insurance,Number of Respondents, 195 , 57 , 57 , 23 , 21 , 17 , 3 
,Mean," 1,169 "," 1,216 "," 1,014 ", 812 ," 1,850 ", 958 ," 1,667 "
,Standard Error, 101 , 224 , 109 , 131 , 551 , 195 , 667 
,Median, 800 , 800 , 850 , 700 ," 1,200 ", 650 ," 1,000 "
Fees,Number of Respondents, 315 , 98 , 87 , 42 , 31 , 23 , 4 
,Mean, 671 , 607 , 569 , 444 , 914 , 922 , 825 
,Standard Error, 81 , 91 , 63 , 58 , 315 , 301 , 269 
,Median, 300 , 250 , 500 , 300 , 500 , 300 , 750 
Mooring fees,Number of Respondents, 62 , 26 , 10 , 6 , 7 , 7 , 1 
,Mean," 3,310 "," 3,403 "," 2,731 "," 3,232 "," 3,965 "," 3,729 "," 2,400 "
,Standard Error, 407 , 819 , 912 , 963 , 837 , 790 ,
,Median," 2,880 "," 2,502 "," 1,520 "," 3,420 "," 3,132 "," 4,176 "," 2,400 "
Financial service,Number of Respondents, 35 , 6 , 12 , 9 , 4 ,, 3 
,Mean, 461 , 355 , 662 , 278 , 388 ,, 517 
,Standard Error, 71 , 135 , 170 , 55 , 120 ,, 262 
,Median, 300 , 300 , 475 , 300 , 325 ,, 450 
Other,Number of Respondents, 5 , 1 , 2 , 1 , 1 ,,
,Mean," 1,180 "," 1,000 "," 1,250 "," 1,200 "," 1,200 ",,
,Standard Error, 242 ,, 750 ,,,,
,Median," 1,200 "," 1,000 "," 1,250 "," 1,200 "," 1,200 ",,
Annual fixed costs,Number of Respondents, 326 , 102 , 90 , 43 , 32 , 24 , 4 
,Mean," 7,069 "," 6,598 "," 6,830 "," 5,862 "," 11,903 "," 5,656 "," 14,563 "
,Standard Error, 515 ," 1,138 ", 846 ," 1,086 "," 1,666 "," 1,450 "," 8,007 "
,Median," 3,775 "," 3,550 "," 3,650 "," 2,900 "," 9,450 "," 2,300 "," 9,225 "
