Variable,Statistic,All Respondents,ShallowBottomfish
Boat and trailer repair/maintenance/improvements,Number of Respondents,298,181
,Mean,2556.8825503355706,2500.2265193370167
,Standard Error,327.8580094282442,423.4877939855873
,Median,1000,1000
Gear replacement/repair,Number of Respondents,302,180
,Mean,2125.572847682119,1973.4888888888888
,Standard Error,200.7123756637217,238.17925460449607
,Median,1000,1000
Loan payments,Number of Respondents,41,28
,Mean,5708.951219512195,5809.964285714285
,Standard Error,533.8851501952907,573.8217338406512
,Median,4800,4800
Boat insurance,Number of Respondents,195,111
,Mean,1169.3538461538462,1243.3873873873874
,Standard Error,101.19826732540777,161.61183826942911
,Median,800,768
Fees,Number of Respondents,315,187
,Mean,670.5809523809523,655.0909090909091
,Standard Error,80.59788806204425,74.29530231230795
,Median,300,345
Mooring fees,Number of Respondents,62,35
,Mean,3309.8709677419356,2548.057142857143
,Standard Error,407.22634216291317,369.6605436762495
,Median,2880,2004
Financial service,Number of Respondents,35,27
,Mean,460.85714285714283,440
,Standard Error,71.12820881222537,64.21119001448987
,Median,300,350
Other,Number of Respondents,5,2
,Mean,1180,1250
,Standard Error,241.66091947189145,749.9999999999999
,Median,1200,1250
Annual fixed costs,Number of Respondents,326,192
,Mean,7068.834355828221,6950.666666666667
,Standard Error,515.2815890993024,638.9558613758104
,Median,3775,4053.5
