Variable,Statistic,All Respondents,Oahu,Hawaii,Maui,Kauai,,,,,,,,,,
Boat and trailer repair/maintenance/improvements,Number of Respondents,298,111,108,45,33,298,111,108,45,33, -   , -   , -   , -   , -   
,Mean,"2,557",2666.693694,2746.203704,1960.666667,2306.909091,"2,557","2,667","2,746","1,961","2,307",0,0,0,0,0
,Standard Error,328,542.9637007,663.4606951,372.0617414,704.3649318,328,543,664,372,704,0,0,-1,0,0
,Median,"1,000",1000,1000,1200,797,"1,000","1,000","1,000","1,200",797, -   , -   , -   , -   , -   
Gear replacement/repair,Number of Respondents,302,109,110,47,34,302,109,110,47,34, -   , -   , -   , -   , -   
,Mean,"2,126",1922.862385,2275.781818,1807.787234,2089.088235,"2,126","1,923","2,276","1,808","2,089",0,0,0,0,0
,Standard Error,201,333.0074797,312.1184789,477.0753416,428.7065223,201,333,312,477,429,0,0,0,0,0
,Median,"1,000",1000,1000,750,1000,"1,000","1,000","1,000",750,"1,000", -   , -   , -   , -   , -   
Loan payments,Number of Respondents,41,11,18,6,6,41,11,18,6,6, -   , -   , -   , -   , -   
,Mean,"5,709",7461.818182,5675.333333,4230,4075.166667,"5,709","7,462","5,675","4,230","4,075",0,0,0, -   ,0
,Standard Error,534,1284.827415,789.1603712,965.9503093,380.8088249,534,"1,285",789,966,381,0,0,0,0,0
,Median,"4,800",6960,4800,3870,4425.5,"4,800","6,960","4,800","3,870","4,426", -   , -   , -   , -   ,-1
Boat insurance,Number of Respondents,195,86,56,30,21,195,86,56,30,21, -   , -   , -   , -   , -   
,Mean,"1,169",1026.104651,1151.071429,1179.466667,1659.714286,"1,169","1,026","1,151","1,180","1,660",0,0,0,-1,0
,Standard Error,101,129.0943769,181.9047932,165.7117892,554.6158393,101,129,182,166,555,0,0,0,0,0
,Median,800,700,890,1052.5,800,800,700,890,"1,053",800, -   , -   , -   ,-1, -   
Fees,Number of Respondents,315,116,114,48,36,315,116,114,48,36, -   , -   , -   , -   , -   
,Mean,671,823.5086207,517.2631579,856.7083333,419.8888889,671,824,517,857,420,0,0,0,0,0
,Standard Error,81,121.4056352,60.96461066,412.1444061,65.84207631,81,121,61,412,66,0,0,0,0,0
,Median,300,500,300,300,300,300,500,300,300,300, -   , -   , -   , -   , -   
Mooring fees,Number of Respondents,62,35,17,5,3,62,35,17,5,3, -   , -   , -   , -   , -   
,Mean,"3,310",3742.885714,2355.705882,1832,6640,"3,310","3,743","2,356","1,832","6,640",0,0,0, -   , -   
,Standard Error,407,645.9633738,400.2675922,804.4215313,1009.554357,407,646,400,804,"1,010",0,0,0,0,0
,Median,"2,880",3000,2100,2300,5880,"2,880","3,000","2,100","2,300","5,880", -   , -   , -   , -   , -   
Financial service,Number of Respondents,35,12,13,7,3,35,12,13,7,3, -   , -   , -   , -   , -   
,Mean,461,381.6666667,515.3846154,542.8571429,350,461,382,515,543,350,0,0,0,0, -   
,Standard Error,71,78.49757122,122.9217772,249.6255699,76.37626158,71,79,123,250,76,0,-1,0,0,0
,Median,300,325,300,300,400,300,325,300,300,400, -   , -   , -   , -   , -   
Other,Number of Respondents,5,1,1,2,1,5,1,1,2,1, -   , -   , -   , -   , -   
,Mean,"1,180",1200,2000,850,1000,"1,180","1,200","2,000",850,"1,000", -   , -   , -   , -   , -   
,Standard Error,242,,,350,,242,0,0,350,0,0, -   , -   , -   , -   
,Median,"1,200",1200,2000,850,1000,"1,200","1,200","2,000",850,"1,000", -   , -   , -   , -   , -   
Annual fixed costs,Number of Respondents,326,118,121,48,37,326,118,121,48,37, -   , -   , -   , -   , -   
,Mean,"7,069",7696.847458,6787.247934,6036.291667,6582.378378,"7,069","7,697","6,787","6,036","6,582",0,0,0,0,0
,Standard Error,515,965.7863309,867.7302806,878.6235099,1203.224598,515,966,868,879,"1,203",0,0,0,0,0
,Median,"3,775",4562,3376,4500,3300,"3,775","4,562","3,376","4,500","3,300", -   , -   , -   , -   , -   
