Variable,Statistic,All Respondents,Pelagic,Bottomfish,Reef
Boat Length,Number of Respondents,330,315,252,53
,Mean,23.53030303030303,23.584126984126986,23.325396825396826,22.056603773584907
,Standard Error,0.3350540046802733,0.34355749511678735,0.37008798291783784,0.5786571050624054
,Median,22,22,22,22
Boat Horsepower,Number of Respondents,329,314,252,53
,Mean,249.51975683890578,250.27707006369425,236.90079365079364,206.75471698113208
,Standard Error,14.574644110916097,15.12468978764147,14.297152320296519,16.72729936423071
,Median,200,200,180,190
Boat Age,Number of Respondents,320,305,243,52
,Mean,26.0875,26.065573770491802,25.88477366255144,24.307692307692307
,Standard Error,0.8316309348235464,0.8464683810200839,0.9717183412649626,2.208843199890661
,Median,26,26,26,21
Current Boat Owner,Number of Respondents,325,311,247,52
,Mean,12.846153846153847,12.659163987138264,13.048582995951417,11.26923076923077
,Standard Error,0.6396395270176319,0.6501487577030297,0.7253562008994037,1.5300202052647507
,Median,9,9,9,8
Boat Purchase Price,Number of Respondents,307,293,233,51
,Mean,53148.05211726384,53576.627986348125,52984.79399141631,45421.76470588235
,Standard Error,6824.183040506041,7123.73574141983,8541.258163432045,6069.256114290574
,Median,35000,35000,35000,34000
Boat Current Market Value,Number of Respondents,309,295,237,50
,Mean,62221.553398058255,62482.91525423729,63098.987341772154,53570.2
,Standard Error,6992.748640581529,7282.139690674314,8683.968840180381,6518.2044509580855
,Median,40000,40000,40000,40000
Most Recent Years for major Vessel Improvement,Number of Respondents,257,244,197,41
,Mean,3.603112840466926,3.5245901639344264,3.736040609137056,2.707317073170732
,Standard Error,0.2719989433515006,0.27132307732408645,0.32299690351581084,0.49539821680979274
,Median,2,2,2,1
Annual landings of all fish,Number of Respondents,342,327,262,55
,Mean,3161.535087719298,3076.152905198777,3233.507633587786,3570.509090909091
,Standard Error,397.4602256463152,404.0863427648832,424.9438317229688,723.2162582127497
,Median,925,875,1100,1550
Annual landings of pelagic,Number of Respondents,342,327,262,55
,Mean,2428.5204678362575,2516.4495412844035,2439.790076335878,1698.509090909091
,Standard Error,370.778747302472,386.8091362936992,391.0580518191346,431.3632386809732
,Median,750,750,750,300
Annual landings of deep 7,Number of Respondents,342,327,262,55
,Mean,259.1929824561403,212.59633027522935,335.2824427480916,240.45454545454547
,Standard Error,57.078363919379356,27.524586230946714,73.88353161386637,65.98289145760135
,Median,25,25,25,25
Annual landings of shallow bottomfish,Number of Respondents,342,327,262,55
,Mean,154.57602339181287,146.60550458715596,195.28625954198472,175.72727272727272
,Standard Error,18.835925606646995,18.635724314563863,23.933146974903806,34.27248166815337
,Median,25,25,25,25
Annual landings of reef,Number of Respondents,342,327,262,55
,Mean,319.2456140350877,200.50152905198777,263.14885496183206,1455.8181818181818
,Standard Error,88.16156661802059,45.23826008900774,60.86568889274589,521.51802257704
,Median,25,25,25,300
Total value of fish sold,Number of Respondents,280,268,215,50
,Mean,10115.614285714286,9859.597014925374,10718.148837209303,12209
,Standard Error,1059.4053694258594,1074.5561987868498,1250.7102645017342,2426.138567134774
,Median,3500,3500,3500,3500
Value of fish sold from pelagic fish,Number of Respondents,271,261,211,48
,Mean,6097.616752767528,6316.395172413793,6226.998293838863,5062.740625
,Standard Error,747.7368536651168,773.1177502129698,838.6173396742546,1516.9907769103493
,Median,1500,1500,1425,937.5
Value of fish sold from deep 7 bottomfish,Number of Respondents,271,261,211,48
,Mean,1539.660295202952,1454.0150957854405,1965.3930805687203,1606.5947916666667
,Standard Error,245.3056413378893,228.94782779268542,308.8619064987847,757.753174290741
,Median,0,0,175,56.25
Value of fish sold from shallow bottomfish,Number of Respondents,271,261,211,48
,Mean,870.9173062730628,801.3164367816092,1061.2255450236967,751.8552083333333
,Standard Error,156.30207528558432,156.8293072309877,195.77235560855843,220.8363574791574
,Median,0,0,15,75
Value of fish sold from nearshore & reef fish,Number of Respondents,271,261,211,48
,Mean,652.9335793357934,522.7777777777778,649.739336492891,2797.03125
,Standard Error,175.57682927441468,162.4218882571401,200.28424132362417,896.755969676434
,Median,0,0,0,37.5
Boat and trailer repair/maintenance/improvements,Number of Respondents,326,312,250,53
,Mean,2337.2730061349694,2372.375,2198.324,1710.6792452830189
,Standard Error,302.27888633222574,314.20696292867035,315.9625515087503,433.1172012231154
,Median,973,1000,973,800
Gear replacement/repair,Number of Respondents,326,312,250,53
,Mean,1969.0889570552147,1935.25,1890.772,2087.3584905660377
,Standard Error,188.44585029610005,186.37765126342032,212.8652661336947,391.7196309852629
,Median,800,850,800,1000
Loan payments,Number of Respondents,326,312,250,53
,Mean,717.9969325153374,746.3685897435897,665.788,830.9433962264151
,Standard Error,124.25036747555176,129.54918322899886,132.77802557852004,387.0241367786643
,Median,0,0,0,0
Boat insurance,Number of Respondents,326,312,250,53
,Mean,699.4601226993865,704.2371794871794,695.232,478.60377358490564
,Standard Error,68.32226988585626,70.60177248146178,82.56554086820626,93.55086529479003
,Median,300,312.5,227,34
Fees,Number of Respondents,326,312,250,53
,Mean,647.9539877300614,653.099358974359,703.588,647.5094339622641
,Standard Error,78.16325024348062,81.56671595965618,98.05484954402002,123.90834966448324
,Median,300,300,300,360
Mooring fees,Number of Respondents,326,312,250,53
,Mean,629.4846625766871,657.4102564102565,487.86,90.41509433962264
,Standard Error,105.40955660707061,109.88126961097494,89.0520111640915,61.89190348465418
,Median,0,0,0,0
Financial service,Number of Respondents,326,312,250,53
,Mean,49.47852760736196,50.09615384615385,50.32,47.16981132075472
,Standard Error,10.929440932225994,11.36868606261344,11.077365322582796,22.755368046391744
,Median,0,0,0,0
Other,Number of Respondents,326,312,250,53
,Mean,18.098159509202453,18.91025641025641,19.6,0
,Standard Error,8.702096463430818,9.09048732686215,10.629926686739747,0
,Median,0,0,0,0
Annual fixed costs,Number of Respondents,326,312,250,53
,Mean,7068.834355828221,7137.746794871795,6711.484,5892.679245283019
,Standard Error,515.2815890993024,528.5764367806353,533.7680759605566,873.7778829085091
,Median,3775,3925,3625,3000
