Variable,Statistic,All Respondents,Pelagic,Deep7Bottomfish,ShallowBottomfish,Reef
Boat Length,Number of Respondents,330,315,191,193,53
,Mean,23.53030303030303,23.584126984126986,23.12565445026178,23.28497409326425,22.056603773584907
,Standard Error,0.3350540046802733,0.34355749511678735,0.3612912871021837,0.4386881357683441,0.5786571050624054
,Median,22,22,22,22,22
Boat Horsepower,Number of Respondents,329,314,191,193,53
,Mean,249.51975683890578,250.27707006369425,216.8324607329843,241.21243523316062,206.75471698113208
,Standard Error,14.574644110916097,15.12468978764147,8.312176274667655,18.237795421516722,16.72729936423071
,Median,200,200,180,180,190
Boat Age,Number of Respondents,320,305,185,186,52
,Mean,26.0875,26.065573770491802,25.583783783783783,25.182795698924732,24.307692307692307
,Standard Error,0.8316309348235464,0.8464683810200839,1.085923058099677,1.0780063959816242,2.208843199890661
,Median,26,26,26,26,21
Current Boat Owner,Number of Respondents,325,311,188,188,52
,Mean,12.846153846153847,12.659163987138264,13.106382978723405,12.537234042553191,11.26923076923077
,Standard Error,0.6396395270176319,0.6501487577030297,0.824134481191436,0.7972021875562845,1.5300202052647507
,Median,9,9,10,9,8
Boat Purchase Price,Number of Respondents,307,293,178,179,51
,Mean,53148.05211726384,53576.627986348125,44489.04494382023,57010.150837988826,45421.76470588235
,Standard Error,6824.183040506041,7123.73574141983,2930.441211828519,11044.293162202308,6069.256114290574
,Median,35000,35000,35000,34000,34000
Boat Current Market Value,Number of Respondents,309,295,179,182,50
,Mean,62221.553398058255,62482.91525423729,52854.5251396648,67517.91208791209,53570.2
,Standard Error,6992.748640581529,7282.139690674314,3865.2696670124988,11192.669196023211,6518.2044509580855
,Median,40000,40000,40000,40000,40000
Most Recent Years for major Vessel Improvement,Number of Respondents,257,244,148,150,41
,Mean,3.603112840466926,3.5245901639344264,3.864864864864865,3.7066666666666666,2.707317073170732
,Standard Error,0.2719989433515006,0.27132307732408645,0.37129596789590064,0.3663162857125318,0.49539821680979274
,Median,2,2,2,2,1
Annual landings of all fish,Number of Respondents,342,327,198,200,55
,Mean,3161.535087719298,3076.152905198777,3491.010101010101,3239.99,3570.509090909091
,Standard Error,397.4602256463152,404.0863427648832,528.954227880865,467.0814556698363,723.2162582127497
,Median,925,875,1112.5,1175,1550
Annual landings of pelagic,Number of Respondents,342,327,198,200,55
,Mean,2428.5204678362575,2516.4495412844035,2655.550505050505,2456.36,1698.509090909091
,Standard Error,370.778747302472,386.8091362936992,482.89615279086894,440.13431116115737,431.3632386809732
,Median,750,750,750,750,300
Annual landings of deep 7,Number of Respondents,342,327,198,200,55
,Mean,259.1929824561403,212.59633027522935,437.8484848484849,236.675,240.45454545454547
,Standard Error,57.078363919379356,27.524586230946714,96.62771938092979,32.91612069920181,65.98289145760135
,Median,25,25,75,25,25
Annual landings of shallow bottomfish,Number of Respondents,342,327,198,200,55
,Mean,154.57602339181287,146.60550458715596,163.76262626262627,226.2,175.72727272727272
,Standard Error,18.835925606646995,18.635724314563863,23.40273691799515,28.8991105912418,34.27248166815337
,Median,25,25,25,75,25
Annual landings of reef,Number of Respondents,342,327,198,200,55
,Mean,319.2456140350877,200.50152905198777,233.84848484848484,320.755,1455.8181818181818
,Standard Error,88.16156661802059,45.23826008900774,70.9218634674699,78.78867942096439,521.51802257704
,Median,25,25,25,25,300
Total value of fish sold,Number of Respondents,280,268,162,167,50
,Mean,10115.614285714286,9859.597014925374,11474.395061728395,11120.670658682635,12209
,Standard Error,1059.4053694258594,1074.5561987868498,1521.4328411796307,1517.2740031557958,2426.138567134774
,Median,3500,3500,3500,3500,3500
Value of fish sold from pelagic fish,Number of Respondents,271,261,159,165,48
,Mean,6097.616752767528,6316.395172413793,6355.937987421384,6417.616,5062.740625
,Standard Error,747.7368536651168,773.1177502129698,919.9856909417358,980.6769060552597,1516.9907769103493
,Median,1500,1500,1425,1125,937.5
Value of fish sold from deep 7 bottomfish,Number of Respondents,271,261,159,165,48
,Mean,1539.660295202952,1454.0150957854405,2557.298364779874,1645.5935757575758,1606.5947916666667
,Standard Error,245.3056413378893,228.94782779268542,398.1492318147168,327.3289488091215,757.753174290741
,Median,0,0,375,75,56.25
Value of fish sold from shallow bottomfish,Number of Respondents,271,261,159,165,48
,Mean,870.9173062730628,801.3164367816092,950.3055974842767,1252.0217575757576,751.8552083333333
,Standard Error,156.30207528558432,156.8293072309877,237.18149542071595,245.23516819528663,220.8363574791574
,Median,0,0,0,75,75
Value of fish sold from nearshore & reef fish,Number of Respondents,271,261,159,165,48
,Mean,652.9335793357934,522.7777777777778,671.4465408805031,744.060606060606,2797.03125
,Standard Error,175.57682927441468,162.4218882571401,256.65528757657756,250.7288740627283,896.755969676434
,Median,0,0,0,0,37.5
Boat and trailer repair/maintenance/improvements,Number of Respondents,326,312,189,192,53
,Mean,2337.2730061349694,2372.375,1843.3386243386244,2356.984375,1710.6792452830189
,Standard Error,302.27888633222574,314.20696292867035,229.73047094557302,401.3700367984675,433.1172012231154
,Median,973,1000,946,1000,800
Gear replacement/repair,Number of Respondents,326,312,189,192,53
,Mean,1969.0889570552147,1935.25,2092.4126984126983,1850.1458333333333,2087.3584905660377
,Standard Error,188.44585029610005,186.37765126342032,270.97338102552436,225.9140585822236,391.7196309852629
,Median,800,850,800,1000,1000
Loan payments,Number of Respondents,326,312,189,192,53
,Mean,717.9969325153374,746.3685897435897,713.0529100529101,847.2864583333334,830.9433962264151
,Standard Error,124.25036747555176,129.54918322899886,158.95737838966392,169.71358360289432,387.0241367786643
,Median,0,0,0,0,0
Boat insurance,Number of Respondents,326,312,189,192,53
,Mean,699.4601226993865,704.2371794871794,555,718.8333333333334,478.60377358490564
,Standard Error,68.32226988585626,70.60177248146178,56.07714086679763,103.29729032426864,93.55086529479003
,Median,300,312.5,230,212,34
Fees,Number of Respondents,326,312,189,192,53
,Mean,647.9539877300614,653.099358974359,739.5661375661375,638.03125,647.5094339622641
,Standard Error,78.16325024348062,81.56671595965618,123.4834900191453,72.74819964212057,123.90834966448324
,Median,300,300,345,301.5,360
Mooring fees,Number of Respondents,326,312,189,192,53
,Mean,629.4846625766871,657.4102564102565,430.5978835978836,464.4895833333333,90.41509433962264
,Standard Error,105.40955660707061,109.88126961097494,93.91069872909128,97.47422887068417,61.89190348465418
,Median,0,0,0,0,0
Financial service,Number of Respondents,326,312,189,192,53
,Mean,49.47852760736196,50.09615384615385,51.111111111111114,61.875,47.16981132075472
,Standard Error,10.929440932225994,11.36868606261344,12.164519464045288,14.192300171653068,22.755368046391744
,Median,0,0,0,0,0
Other,Number of Respondents,326,312,189,192,53
,Mean,18.098159509202453,18.91025641025641,23.280423280423282,13.020833333333334,0
,Standard Error,8.702096463430818,9.09048732686215,13.811061380554742,10.724018783993047,0
,Median,0,0,0,0,0
Annual fixed costs,Number of Respondents,326,312,189,192,53
,Mean,7068.834355828221,7137.746794871795,6448.359788359789,6950.666666666667,5892.679245283019
,Standard Error,515.2815890993024,528.5764367806353,537.3361015697373,638.9558613758104,873.7778829085091
,Median,3775,3925,3650,4053.5,3000
